"gender","age","height","weight","nc.score"
"1","Female",19,160,64.8,1.91
"2","Female",19,172,73,1.56
"3","Female",22,168,70.6,1.24
"4","Male",19,183,79.7,1.37
"5","Female",21,175,71.4,1.46
"6","Male",19,189,85.8,1.34
"7","Female",21,156,65.9,1.11
"8","Female",21,167,65.7,2.03
"9","Male",18,195,94.4,1.29
"10","Female",18,165,66,1.19
"11","Female",22,162,66.8,1.04
"12","Female",18,172,66.8,3.81
"13","Male",23,185,84.6,1
"14","Female",20,158,64.4,2.5
"15","Female",19,157,66.3,1.92
"16","Male",20,172,73.9,3.61
"17","Female",22,156,61.7,2.27
"18","Male",22,182,82.1,1.42
"19","Female",21,162,69.2,1.32
"20","Female",22,168,70.9,2.33
"21","Female",20,167,68.5,1.79
"22","Male",37,175,70.4,1.97
"23","Male",19,164,70.3,1.68
"24","Female",38,155,67,2.3
"25","Male",23,183,81.8,2.11
"26","Female",26,145,54,1.14
"27","Female",25,161,66.8,1.45
"28","Male",24,182,80.1,1.09
"29","Female",54,169,71.4,1.75
"30","Male",22,172,69.6,3.94
"31","Male",23,172,73,1.26
"32","Male",19,192,88.9,1.19
"33","Male",22,175,72.6,3.03
"34","Male",18,173,75.7,1.19
"35","Female",20,170,71.6,2.27
"36","Male",21,176,74.1,4
"37","Female",20,180,75.6,1.09
"38","Male",23,185,80.7,3.15
"39","Female",22,172,68.3,2.12
"40","Female",21,171,74.5,1.43
"41","Female",19,153,64.9,1.15
"42","Female",20,157,64.4,1.66
"43","Male",23,190,89.3,3.46
"44","Female",20,173,78.3,2.67
"45","Female",19,170,68,2.45
"46","Male",19,160,62.2,2.92
"47","Female",23,170,69.6,3.23
"48","Male",20,171,72.1,2.03
"49","Female",22,160,66.2,1.37
"50","Male",23,181,76.2,1.32
"51","Male",21,161,66.7,1.41
"52","Female",25,164,65.9,1.43
"53","Male",24,170,68,1.83
"54","Male",20,174,72.8,1.89
"55","Male",21,171,65.7,2.77
"56","Male",22,184,83.3,2.87
"57","Male",19,173,73.2,2.8
